Timestamp,What is your username? (no @),What is your DV ID? (no @),Would you like to be a backup Santa?,Would you like to apply to be an artist helper?,"I certify that I have been cleared for official registration by filling out an approved preregistration form, and that my name appears on the list of approved names on the front page.",Is there anyone you are not comfortable with being matched up with?,Mark prompts that you would MOST like to draw.,"Mark prompts that you are okay with drawing, but aren't your first choice.","Mark which prompts you DO NOT want to draw. If you are okay with drawing all of the prompts listed, you may skip this question.","Since we can't fit every single type of prompt into the previous questions, you can let us know any additional information about what you do or do not want to draw.",Mark which prompt(s) apply to your first custom design request!,"Describe your first custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Mark which prompt(s) apply to your second custom design request!,"Describe your second custom request in more detail, including the pet, whether it is evo/non-evo, and reference images if necessary.",Anything else you would like us (the event helpers) to know?,"After the accessory I make is approved, I understand I must fill out a submission form and will transfer ownership to Nature #5192. She will then hold onto it until it is ready to transfer to the intended recipient.","While working on my accessory, I will keep the identity of my recipient secret and will not publicly share any WIPs, sneak peeks, or the completed design until Dec 25th (Christmas Day). If I need assistance with my accessory, I will privately contact one of the Artist Helpers. If I need to ask a clarifying question to my recipient, I will contact Nature #5192 to relay the message for me indirectly.",I am expected to deliver a completed accessory by the deadline of Dec 20. Failure to do so will result in multiple penalties including: a ban from participating in any future AAA-sponsored events and removal from the AAA guild/server as applicable. I also will not receive my gifted accessory if I fail to deliver my part.,"I understand I may use the accessory gifted to me for personal use or give out free uses, but I may NOT sell uses commercially. I also understand that the accessory I gift may also be used for personal use/free use grants.","Provide any secondary contact information here (such as discord account, FR account, Twitter, etc.)"
11/16/2020 6:34:19,Cattrin,48703,Yes,Yes,I agree.,,"Cute/Pastel, Food/Objects, Floral/Nature, Jewelry/Filigree, Repose","Background, Body Markings/Patterns, Clothing, Hair/Wigs, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror",,,Body Markings/Patterns,"I'd like a Siamese fur pattern for the Evo Apprentice Cat, please! Siamese cats have dark markings on their face (diamond shape), ears, paws, and tail. Please use the dark purplish color that is already visible on the ear tips/nose/tail of the Evo Apprentice Cat for the marking colors. Please do not darken any of the rest of the cat, just the face, ears, paws, and tail. Thank you! Reference: https://i.imgur.com/k7Z3ET7.png",,,Thanks for your efforts,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Katydid#7606 on Discord
11/16/2020 6:48:22,ReddRoomba,20342,No,No,I agree.,,"Background, Body Markings/Patterns, Food/Objects, Plushie/Fake Companion","Floral/Nature, Jewelry/Filigree, Ribbons/Silk",,,"Clothing, Jewelry/Filigree, Metal/Armor","Preferably a Louise Hill pet, I would like for them to be in full knightly armor that reflects their theme! For example: Turnipling with a turnip on it's shield, Bell Fox with daggers like Fantasia's, etc.","Cute/Pastel, Plushie/Fake Companion, Repose","For Glass Orb Fox, I would like for a motherly fox with a few little plush baby foxes around. Repose would be something like the fox looking down or laying down to be closer to the fake babies. ",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Discord: ReddRoomba#6041
11/17/2020 13:24:23,Fantasy,2961,Yes,No,I agree.,,"Background, Body Markings/Patterns, Food/Objects, Floral/Nature","Clothing, Cute/Pastel, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk, Spooky/Horror",Repose,"I'm confident in my ability to sketch any of the prompts above—but my coloring/shading is subpar, so...match with caution, haha.","Body Markings/Patterns, Clothing, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Ribbons/Silk","the pet i'm interested is the glass harpy— preferably non-evo, but up to santa if they'd like to do the evo! & ofc a recolor would be wonderful, but not expected. (other pets that i'd be interested in: fanged koihound, floral mantid, sunrise celestial, spring seedling)

it would be east-asian inspired. think xianxia novels, hanfu clothing, and nature. maybe the glass umbrella would turn into a paper umbrella, the hair would be longer/tied up with flowers, ribbons, and gold accessories? they could have red makeup on the forehead (huadian)?

inspiration: https://hanfugallery.tumblr.com/post/616137620012007424
https://ziseviolet.tumblr.com/post/178429027275","Background, Clothing, Floral/Nature, Jewelry/Filigree, Ribbons/Silk","the pets i'm interested in are the flying bat fox, astronomouse, glass orb fox, or poison lion — preferably non-evo, but that's up to santa! a recolor would be wonderful, but not expected. 

it would be an accessory inspired by the guild candlelight nocturnes. So, think of a victorian era theme, of masquerades and gold, of velvet and silk, of mystery and magic. darker colors w/flashes of jewelry, maybe?

more freedom as to how you'd like to interpret this theme, but i'd love something elegant, maybe tea-party/rose garden inspired or doll/puppet master inspired? ofc no need for all of the prompts above to be filled, they're just there to kind of...give a vibe, haha! if it's too much, feel free to simplify this request as needed ^^

** EDIT
hi there's some guild drama going on LMAO so i switched prompt 1 and 2, hope that's alright!",thank you guys so much for your hard work!,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"discord: kashii#3787 (i'm in the AAA server!)
tumblr: https://witheredbouquet.tumblr.com/"
11/16/2020 7:39:15,eon,419,No,Yes,I agree.,,"Background, Clothing, Jewelry/Filigree, Ribbons/Silk","Body Markings/Patterns, Cute/Pastel, Floral/Nature, Hair/Wigs, Repose, Spooky/Horror",,"I don't want to draw accessories based off of OCs or other characters, and would prefer prompts that give greater artistic freedom","Background, Jewelry/Filigree, Ribbons/Silk","pet: either the jeweled unicorn (non-evo) or the bell fox (evo)

inspiration: https://imgur.com/a/EPJDC0t
stars, clouds, space, gems, feel free to include silks/jewels/filigree and whatever else you think would fit~","Body Markings/Patterns, Floral/Nature, Ribbons/Silk","pet: anemone sprite 

inspiration: https://imgur.com/a/0hOQHDU
please include lotus flowers in some way :3",N/A,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,discord - Finlol#1117 (in the AAA server)
11/16/2020 7:52:21,genie,1104,No,No,I agree.,,"Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs","Background, Body Markings/Patterns, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Ribbons/Silk","Repose, Spooky/Horror",,"Background, Body Markings/Patterns, Cute/Pastel, Floral/Nature, Jewelry/Filigree","I would like something dainty and cute for the evolved cabbager!
Doesn’t have to include all the prompts",,,,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Im in aaa server genie#0123
11/16/2020 7:59:02,Dread,772,No,No,I agree.,,"Clothing, Cute/Pastel, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion","Background, Body Markings/Patterns, Food/Objects, Repose, Ribbons/Silk",Spooky/Horror,"Similar to armor, but I love drawing swords and other fantasy-style weapons!","Clothing, Jewelry/Filigree, Metal/Armor","I'd love some kind of regal, medieval-style/jousting armored marine kelphorse accessory! Not necessarily this, and I'd love to just see how this gets interpreted, but for an example here is an image kind of in line for what I'm thinking- https://i.pinimg.com/originals/62/70/bd/6270bd303d9839db94cdf018890fe429.jpg 
I like both the evo and non-evo versions of the kelphorse so match to whichever you think would work better!","Cute/Pastel, Plushie/Fake Companion","I'd also love an accessory for the Celesital Owlgriff with some generic fantasy plushie friend/s (dragon/unicorn/gryphon/etc. as possible examples), as well as a book like the owlgriff is reading a bedtime story to their plushie companions! I like both evo and non-evo for owlgriffs, so feel free to match to either.",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Dread#0978 on discord
11/16/2020 8:37:18,Kimii,45248,Yes,Yes,I agree.,,"Background, Clothing, Food/Objects, Jewelry/Filigree, Plushie/Fake Companion, Repose, Spooky/Horror","Body Markings/Patterns, Cute/Pastel, Floral/Nature, Hair/Wigs, Metal/Armor, Ribbons/Silk",,The only thing I wouldn't want to draw is anything bug-related ^^,"Background, Clothing, Spooky/Horror","Pet Species:
Poison Lion, Glass Orb Fox, Swamp Hound, Bell Fox, Glowshroom Rabbit, Pumpkin Pup, Scullion.
If I have to pick one, Bell Fox. (I just wanted to give options for the artist since I'm not picky!)
Non-evo is preferred.

Design;
Nightmare Before Christmas/Tim Burton-esq themed.
Obviously, nothing can be copy-written, and I'd prefer to give the artist creative power with this.
Some examples for reference though, I like the design of Sora from Kindgom Hearts Halloween Town outfits, where it's spoopy but still Christmas.
So maybe a black stitched up santa hat/outfit, or a darker spooped up christmas tree in the background.
Again, I'd prefer the artist come up with things they're comfortable with based around the theme, it doesn't have to be anything specific! ^^","Background, Clothing, Food/Objects, Plushie/Fake Companion","Pet Species:
Pine Sheep, Stonevine Deericorn, Swamp Hound, Bell Fox, Runty Turnipling, Succulent Vole.
If I have to pick one, Bell Fox. (I just wanted to give options for the artist since I'm not picky!)
Non-evo is preferred.

Design;
Traditional Christmas themed.
I'd prefer to give the artist creative power with this.
Maybe a red santa hat with a christmas tree in the background, and some presents/plushies laying around.
Again, I'd prefer the artist come up with things they're comfortable with based around the theme, it doesn't have to be anything specific! ^^","If my requests need to be more specific, or if I need to be contacted for anything, I'm always available on DV or discord anytime. I'm also available to help with anything needed! And, I'd like to thank you event helpers for this incredible event <3",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,kimii#3118
11/16/2020 8:38:41,NeonHeart,3492,No,Yes,I agree.,Amberdash,"Clothing, Jewelry/Filigree, Metal/Armor, Ribbons/Silk, Spooky/Horror","Body Markings/Patterns, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs","Background, Repose","I would prefer not to take prompts that just vaguely request inspiration from any culture, to avoid accidentally stepping on toes. More specific prompts that can be researched are okay though! ","Clothing, Jewelry/Filigree, Metal/Armor, Spooky/Horror","Poison Lion (Non-Evo) : I have no particular preferences, I would just like you to be inspired by the name ""Shadow Queen!"" I'd like the colors to be mostly dark purples, with maybe a little bit of red. Stop reading here if you are happy to work with a vague prompt, continue if you would prefer more guidance. Feel free to take as much or as little direction from these suggestions as you'd like, I encourage artistic freedom! Shadow Queen can mean: a dark crown, a spiky and spooky cape, dark jewelry with crystals and more spikes, filigree armor, maybe an expression change! Have fun and do what you're most confident with!  ","Background, Food/Objects, Metal/Armor","Prismatic Pup (Non-Evo) : Same as above, feel free to interpret this however you'd like! My Pup's name is Huey, inspired by the character from Paper Mario Color Splash, and so I'd like his accessory to be inspired by paint cans and messy paint, colors everywhere! ",,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,I'm in the AAA server
11/16/2020 8:56:19,Auri,9256,No,No,I agree.,,"Background, Body Markings/Patterns, Clothing, Cute/Pastel","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Repose, Ribbons/Silk, Spooky/Horror",,"Personally I would rather not draw bug legs specially. I don't mind cuter bugs like moths and butterflies or even beetle-like bugs, but I would rather not have to look up references of bugs since they squick me. As for what I *would* like to draw, I quite like drawing clothing and makeup-ifying pets, especially giving them softer looks on the eyes! I'm also not the most experienced with armor, but I definitely wouldn't mind experimenting and doing my best with that! I didn't put it as preferred due to my lack of experience, but otherwise I think armor looks are stunning, and wouldn't mind trying!","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Floral/Nature, Jewelry/Filigree, Metal/Armor, Ribbons/Silk","I would love something for my Obsidian Dragon or Jeweled Unicorn! I can never quite figure out what I want to draw for them myself, so I'd be excited to see what someone might come up with for one of them! I would rather it be for the non-evolved form, but I wouldn't mind a recolor or that it be for the evo instead if that's what you have inspiration for. I think something that complements the armor/filigree the pet already has would be cool! My most important request is that you have fun, are as creative as you can be and that you don't limit yourself (outside of, you know, the rules DV itself has haha)!
I'll list other prompts I like, but you don't have to do any of them if you're not feeling it: backgrounds, clothing, body markings, cute/pastel, floral/nature, ribbons/silk.
Feel free to also add other elements outside of these prompts as well if you feel like it!","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Floral/Nature, Jewelry/Filigree, Metal/Armor, Ribbons/Silk","As a second custom request I would like a companion piece for the first one! Obviously, this isn't required, but basically: if you did a piece for my Dragon, I would love something for my Unicorn, and vice-versa!",Thank you again for making this event possible! I'm super excited!,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,discord: dragonamazon#2506 // FR: dragonamazon 437913 (will reply quickest with discord. my DMs are open!)
11/16/2020 8:58:23,Quasar,1620,No,No,I agree.,,"Clothing, Floral/Nature, Hair/Wigs, Metal/Armor, Ribbons/Silk","Background, Cute/Pastel, Jewelry/Filigree, Spooky/Horror",Repose,"Fanart, I do not want to fight with queue to see how far copyright stuff can be pushed","Clothing, Floral/Nature","Red Heart Rabbit - maybe something with masks, does not have to cover the face, can be off to the side or held in his paws, and flowers a bit all over?","Background, Body Markings/Patterns, Clothing, Floral/Nature","Evo-Glass orb fox - I'm working on evolving a glass orb fox and i am looking for something spacey for him. I don't really have anything specific in mind, flowers would be fun, i love nature themes! ","I know my prompts aren't very specific, I love leaving space for the artist to just be creative. If it's not specific enough just let me know and i'll try to narrow it down.",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,"discord: Rinonelle#7068, FR: Tiguidou #91052"
11/16/2020 9:15:37,Eschtaaa,24013,No,No,I agree.,,"Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Plushie/Fake Companion, Repose, Ribbons/Silk","Background, Body Markings/Patterns, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Spooky/Horror",,N/A,Plushie/Fake Companion,"Spiral Imp with a Pandabear (sorta like Snorlax) instead of the Glass Bottle. For non-evo, Spiral Imp itself can be changed or not depending on how it works with the Panda (also worried about it going over the 50% haha). If Spiral Imp is changed maybe give a fake-without copyright infringment- pokemon trainer feel. ","Clothing, Food/Objects, Jewelry/Filigree, Ribbons/Silk",Mechanical Sea Nomad as the Sugar Plum Fairy. Glitter galore. Holding a Wand. Possible fake wings,"My requests are more like prompts, I am all for creative freedom and letting art go free haha. ",I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,Same Name on FR and Discord aswell (#1713)
11/16/2020 9:30:38,Desnik,492,No,Yes,I agree.,,"Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Repose, Ribbons/Silk, Spooky/Horror","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Plushie/Fake Companion, Repose, Ribbons/Silk, Spooky/Horror",,,"Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Metal/Armor, Ribbons/Silk","My shining kelpcat is going on an adventure! He knows he wants to fill a ‘healer’ role but he doesn’t know what class he wants to be (including but not limited to your standard fantasy cleric, priest, monk, paladin…etc). Maybe once he spots the perfect outfit, it’ll click.

Your task: 
Create an outfit for a wee kelpcat who wants to spec into ‘healing’.
-Tags are just for reference, you don't need to include all of them unless you feel like it
-Reposing is fine but definitely not necessary
-If your design only works on one version of the kelpcat, please use the evolved version.
-Please go for a ‘Level 1’/novice healer look. The kitty is not epic. The kitty barely knows how to apply a bandaid.
-Bonus points for clothing that is charmingly too big for a kitty!

Execution notes (DEFINITELY not required, but if you really want to hit me straight in the feels):
In general, simple, clean, and clear is best for my tastes.
I prefer a style that looks like Dappervolk style. Please use colored lineart and brushy strokes, if you know how.
I also prefer white outlines on stuff that extends past the pet outline. I may request to edit the original art file if you need help doing this.","Background, Body Markings/Patterns, Clothing, Cute/Pastel, Food/Objects, Floral/Nature, Hair/Wigs, Jewelry/Filigree, Ribbons/Silk","A Bell Fox with art nouveau influenced stuff? I'm leaving this one more open in case the first was too specific. I'll give you some image boards if you like too. This one can be very very small and simple if desired, or expanded for as many coverage crimes as you like. Tags are also suggestions rather than requirements.

Love these as background elements: https://d1smv7h0armdzg.cloudfront.net/wp-content/uploads/2019/09/mucha.jpg

Really love tree + water motifs: https://www.christies.com/img/LotImages/2017/GNV/2017_GNV_15697_0072_000.jpg?w=380

And twining leaflike elements are also great: https://www.acsilver.co.uk/shop/pc/catalog/a9131-art-nouveau-antique-necklace_445_detail.jpg

You can also look up Alphonse Mucha and sponge any one of his pieces too, I don't mind!

Execution notes (same as above, extremely not necessary, just appending additional info for those who want it):
In general, simple, clean, and clear is best for my tastes.
I prefer a style that looks at least somewhat like Dappervolk style. Please use colored lineart and brushy strokes, if you know how.
I also prefer white outlines on stuff that extends past the pet outline. I may request to edit the original art file if you need help doing this.",hi hope you're having fun,I agree to these terms.,I agree to these terms.,I agree to these terms.,I agree to these terms.,hi 
